;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
9b14902e-cf49-447a-a141-98babf8c5520;GSM2514438_C91;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C91;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467502;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cf7d4d75-fcb9-4ac5-93e8-3c6ba951f5f2;GSM2514441_C94;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C94;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467499;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2075e297-2d8d-446c-913d-27c7336de5d4;GSM2514450_C01;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C01;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467490;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f4da507e-2f9e-4dbf-aea3-e704e88c46ec;GSM2514457_C03;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C03;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467682;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
84bfddbe-ef65-4675-8bd4-bfc4988fc421;GSM2514460_C09;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C09;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467679;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f1479442-d99c-4afa-a6c4-ae64f46bb49c;GSM2514463_C12;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C12;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467676;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ce2987cd-2180-4051-aaaa-727c312de799;GSM2514466_C14;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C14;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467674;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
be80aabe-8440-45bd-88b4-a1ef22c8400d;GSM2514472_C18;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C18;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467667;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d214c98e-4d5b-45aa-9aa8-ee3f456629a9;GSM2514475_C20;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467664;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ec18a95a-1be8-4ff4-bf5c-94c04f2ddd4d;GSM2514446_C30;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C30;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467494;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c179ae68-4b05-48d2-a5b9-33d0f8cfc554;GSM2514458_C36;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C36;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467681;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b47a776a-aaf5-4f01-8887-e10351e59f4e;GSM2514461_C39;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C39;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467678;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
8f08872a-2d82-4d91-ac32-ce0205b44a74;GSM2514464_C40;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C40;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467670;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ddf7c2ff-e195-47a5-a085-350576788473;GSM2514467_C45;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C45;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467673;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d0f64ef6-c647-4dcb-94c9-b56a699b0e85;GSM2514473_C47;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C47;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467666;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
47c6d92f-35f6-4d92-b1f9-45af66197f1d;GSM2514449_C72;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C72;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467491;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
227c4f07-6b1a-415a-9a09-75bfcb34414b;GSM2514456_C81;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C81;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467683;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c60e0985-d07b-4ef7-a2a8-5606e21dc9b4;GSM2514459_C83;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C83;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467680;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
37ee0bd1-d845-4371-b510-4d3556df96e7;GSM2514462_C84;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C84;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467677;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
59b77dc3-41f4-4323-8b3d-0ebdd3553cb1;GSM2514465_C85;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C85;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467675;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2f6445a7-4b8f-4be3-9aeb-09224ee83bad;GSM2514468_C87;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C87;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467672;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6585b6b6-20bd-48f6-97d9-4c43eff2f85d;GSM2514471_C90;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C90;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467668;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9a92d95b-e6c1-4d1c-a126-38fa427b5164;GSM2514474_C91;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C91;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467665;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6dfdeb4c-c6b7-4c23-9fe4-8351d7e61fa3;GSM2514477_C95;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C95;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467662;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
